UMCIndex	NETClassRep	UMCMonoMW
0	0.0759	1088.531101
1	0.0772	530.280728
2	0.0781	512.342473
3	0.0781	526.322237
4	0.0781	626.335534
5	0.0781	793.239593
6	0.0781	907.232036
7	0.0781	514.349768
8	0.0781	528.337932
9	0.0781	544.333
10	0.0782	512.844872
11	0.0781	1879.006885
12	0.0781	510.327429
13	0.0781	1024.685034
14	0.0786	1289.606567
15	0.0806	901.486403
16	0.0817	630.333771
17	0.0811	730.371834
18	0.0824	1244.586295
19	0.0884	799.392388
20	0.0884	1029.493898
21	0.0886	584.302414
22	0.0884	852.303993
23	0.0914	668.444677
24	0.0914	782.437379
25	0.092	1063.335505
26	0.0914	1450.883268
27	0.0924	689.371731
28	0.0967	455.284808
29	0.0967	736.181562
30	0.0967	1091.494582
31	0.0962	457.292392
32	0.0967	910.56899
33	0.0973	469.264163
34	0.0989	456.282254
35	0.1066	487.311791
36	0.1082	1260.503746
37	0.1093	799.393102
38	0.1098	985.591474
39	0.1126	1101.548738
40	0.116	1063.588426
41	0.1153	960.448582
42	0.1189	656.361274
43	0.1228	927.488798
44	0.13	1146.461134
45	0.13	844.455335
46	0.1362	935.493582
47	0.1355	1790.720989
48	0.1392	962.459889
49	0.1392	1361.551526
50	0.1394	732.413153
51	0.14	487.300448
52	0.1401	1186.528997
53	0.1406	1591.773961
54	0.1409	687.370946
55	0.1412	1000.55738
56	0.1416	987.560133
57	0.1438	2445.070156
58	0.1443	1102.015744
59	0.1499	2468.085171
60	0.153	1050.571287
61	0.153	1256.647777
62	0.154	2231.958281
63	0.1556	2432.073789
64	0.154	2215.962907
65	0.1556	939.48851
66	0.1597	1102.014843
67	0.1585	1244.509076
68	0.1579	2286.997843
69	0.1585	1260.504064
70	0.157	2302.993336
71	0.1637	2331.025867
72	0.1595	1730.764877
73	0.1597	942.964069
74	0.1597	615.395859
75	0.1602	1753.780489
76	0.1602	1140.521562
77	0.1606	1984.89499
78	0.1603	2382.941342
79	0.1622	2445.068766
80	0.1615	2215.997755
81	0.1618	2371.09223
82	0.162	1770.831869
83	0.1624	1616.721263
84	0.1627	2245.960964
85	0.1624	2283.02057
86	0.1625	1245.493575
87	0.163	1501.657537
88	0.1636	805.469712
89	0.1634	1011.534546
90	0.163	1517.652674
91	0.1637	2383.935383
92	0.1643	2402.06267
93	0.1639	2371.092142
94	0.1641	2418.05827
95	0.1639	2459.084948
96	0.1642	1522.68362
97	0.1648	753.522662
98	0.1647	867.515377
99	0.1646	1085.555355
100	0.1647	1101.549846
101	0.1647	494.333412
102	0.1648	607.417742
103	0.1648	1034.42082
104	0.1646	1148.413941
105	0.1647	1270.592202
106	0.1648	579.422833
107	0.1648	1621.04037
108	0.1644	1730.764307
109	0.1647	1772.824966
110	0.1647	1849.026394
111	0.1648	810.026635
112	0.1647	625.428578
113	0.1656	2452.089885
114	0.1648	640.439181
115	0.1647	806.434758
116	0.1651	1059.429955
117	0.1656	2429.074967
118	0.1652	677.375102
119	0.1648	920.428226
120	0.1652	1345.557112
121	0.165	1501.695805
122	0.1657	2445.06919
123	0.166	1616.721149
124	0.1652	1717.770079
125	0.1653	519.309568
126	0.1653	1361.552761
127	0.1652	401.227687
128	0.1657	1130.466049
129	0.1657	2468.084123
130	0.1655	1703.753912
131	0.1656	1146.460911
132	0.166	1669.632284
133	0.1657	809.69088
134	0.1657	810.024821
135	0.1659	645.369644
136	0.1659	1077.812803
137	0.1659	3233.434517
138	0.166	1744.779202
139	0.1668	944.453803
140	0.1668	1656.788763
141	0.1669	2402.062841
142	0.1667	1687.758045
143	0.1668	960.448874
144	0.1668	1600.726911
145	0.1666	1855.870164
146	0.1668	2316.014075
147	0.1668	810.68846
148	0.1675	2453.073634
149	0.1671	734.480255
150	0.168	2416.077986
151	0.1672	812.439483
152	0.1671	1245.494234
153	0.1671	2430.057145
154	0.1675	2530.120829
155	0.1826	2315.029121
156	0.1679	2431.06725
157	0.1675	1080.530896
158	0.1672	1015.377428
159	0.1672	2344.008181
160	0.1673	1099.497118
161	0.1679	2026.905232
162	0.1687	2479.077011
163	0.1677	2544.139122
164	0.1679	909.623868
165	0.1679	2432.073151
166	0.1679	2468.990519
167	0.168	1023.616395
168	0.1681	1165.547857
169	0.168	565.233401
170	0.1693	2876.13125
171	0.1682	1376.712525
172	0.1684	1130.466219
173	0.1692	1737.785551
174	0.1682	1828.813259
175	0.1684	2403.04595
176	0.1685	1272.637605
177	0.1687	1939.873691
178	0.1684	2285.017493
179	0.1692	1753.780351
180	0.1693	2417.061382
181	0.169	1838.833709
182	0.1695	2316.029484
183	0.1786	2429.073216
184	0.169	805.359745
185	0.1692	1028.446545
186	0.1691	1790.696812
187	0.1692	1801.80172
188	0.1746	1517.655606
189	0.1768	1714.76889
190	0.1848	2367.941783
191	0.1717	868.891905
192	0.1746	915.466172
193	0.1895	2443.088835
194	0.1752	771.349095
195	0.1764	956.576711
196	0.1746	2402.058369
197	0.178	1730.764305
198	0.1848	2229.966278
199	0.1798	1312.600844
200	0.1804	2386.06737
201	0.1826	2315.525152
202	0.1826	4544.990397
203	0.1848	2200.003127
204	0.1895	2402.062792
205	0.1855	1157.762694
206	0.1932	1687.75802
207	0.1855	2368.94639
208	0.1937	1600.725082
209	0.1885	1063.566192
