scan_num,charge,abundance,mz,fit,average_mw, monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance
162,1,37205,456.2933,0.0081,455.5621,455.286,455.286,0.005,484.56,37205,214
165,1,54430,456.293,0.0096,455.5618,455.2857,455.2857,0.005,472.39,54430,408
168,1,74885,456.2929,0.0088,455.5617,455.2856,455.2856,0.005,658.96,74885,284
171,1,86067,456.2929,0.0096,455.5617,455.2857,455.2857,0.005,695.59,86067,598
174,1,103749,456.2927,0.0108,455.5615,455.2855,455.2855,0.005,740.74,103749,554
177,1,103623,456.2928,0.0091,455.5616,455.2855,455.2855,0.005,760.02,103623,324
180,1,119497,456.2928,0.0105,455.5616,455.2855,455.2855,0.005,922.23,119497,642
183,1,126503,456.2929,0.0109,455.5617,455.2857,455.2857,0.005,1102.54,126503,420
186,1,108026,456.2929,0.0101,455.5617,455.2856,455.2856,0.005,1007.84,108026,630
187,1,118944,456.2928,0.0106,455.5616,455.2855,455.2855,0.005,901.25,118944,69
190,1,117132,456.2927,0.0111,455.5615,455.2854,455.2854,0.005,795.54,117132,5
193,1,111379,456.2927,0.0123,455.5615,455.2854,455.2854,0.005,733.82,111379,564
196,1,105278,456.293,0.0096,455.5618,455.2857,455.2857,0.005,1009.16,105278,460
198,1,92881,456.2927,0.0092,455.5615,455.2854,455.2854,0.005,508.68,92881,479
200,1,98189,456.2926,0.0087,455.5614,455.2853,455.2853,0.005,497.53,98189,419
203,1,87693,456.2928,0.0087,455.5616,455.2855,455.2855,0.005,606.09,87693,0
206,1,82244,456.2931,0.0086,455.5619,455.2858,455.2858,0.005,941.02,82244,443
207,1,86192,456.2927,0.0108,455.5615,455.2854,455.2854,0.005,740.67,86192,353
208,1,85673,456.2928,0.009,455.5616,455.2855,455.2855,0.005,633.03,85673,485
210,1,73971,456.2928,0.0089,455.5616,455.2856,455.2856,0.005,668.43,73971,678
212,1,67939,456.2929,0.0109,455.5617,455.2856,455.2856,0.005,592.01,67939,404
213,1,67251,456.293,0.0101,455.5618,455.2857,455.2857,0.005,561.81,67251,488
216,1,57888,456.2931,0.0099,455.5619,455.2858,455.2858,0.005,605.81,57888,247
219,1,46105,456.2937,0.0104,455.5625,455.2864,455.2864,0.0051,782.84,46105,145
220,1,48954,456.2931,0.0102,455.5619,455.2858,455.2858,0.005,474.27,48954,320
223,1,42917,456.2935,0.0089,455.5623,455.2862,455.2862,0.0051,563.04,42917,200
225,1,42890,456.293,0.008,455.5618,455.2857,455.2857,0.005,447.72,42890,342
226,1,39357,456.293,0.009,455.5618,455.2857,455.2857,0.005,350.67,39357,334
228,1,37409,456.2929,0.0087,455.5617,455.2857,455.2857,0.005,307.66,37409,350
231,1,30411,456.2934,0.0084,455.5622,455.2861,455.2861,0.0051,392.61,30411,257
233,1,29825,456.2932,0.0083,455.5621,455.286,455.286,0.005,357.7,29825,363
234,1,25685,456.2931,0.0087,455.5619,455.2859,455.2859,0.005,242.1,25685,149
349,1,59133,1103.0238,0.147,1102.6888,1102.0165,1102.0165,0.0299,628.17,59133,2174
349,1,42896,943.9743,0.1088,943.5447,942.967,942.967,0.0211,455.68,42896,1098
352,1,97744,1103.0212,0.1348,1102.6863,1102.014,1102.014,0.0295,716.98,97744,3783
352,1,55084,523.2177,0.029,522.5265,522.2104,522.2104,0.0065,404.06,55084,353
352,1,54819,943.9733,0.1096,943.5436,942.966,942.966,0.0209,402.12,54819,1826
355,1,177363,1103.0227,0.1317,1102.6877,1102.0154,1102.0154,0.0298,1073.83,177363,6024
355,1,171723,523.2177,0.027,522.5266,522.2105,522.2105,0.0065,1039.68,171723,779
355,1,71722,943.9747,0.1157,943.545,942.9674,942.9674,0.0213,434.24,71722,1916
355,1,44824,759.0594,0.0739,758.5167,758.0522,758.0522,0.0137,271.38,44824,867
358,1,288028,523.2173,0.03,522.5261,522.21,522.21,0.0065,1290.35,288028,2158
358,1,187963,1103.0207,0.1369,1102.6857,1102.0134,1102.0134,0.0296,842.06,187963,6307
358,1,72248,943.9741,0.1023,943.5444,942.9668,942.9668,0.021,323.67,72248,3340
358,1,55069,759.059,0.071,758.5163,758.0517,758.0517,0.0138,246.71,55069,1360
358,1,40919,841.3215,0.075,840.8226,840.3142,840.3142,0.0171,183.32,40919,879
361,1,427412,523.2175,0.0276,522.5263,522.2102,522.2102,0.0065,2068.23,427412,2532
361,1,178428,1103.0227,0.1447,1102.6877,1102.0154,1102.0154,0.0298,863.41,178428,6015
361,1,66854,759.0591,0.0877,758.5164,758.0518,758.0518,0.0139,323.5,66854,1382
361,1,56671,943.9755,0.1095,943.5459,942.9683,942.9683,0.0214,274.23,56671,2053
361,1,52072,841.3219,0.0836,840.823,840.3146,840.3146,0.0173,251.98,52072,1276
364,1,498507,523.2172,0.026,522.526,522.2099,522.2099,0.0065,2021.5,498507,3899
364,1,138614,1103.022,0.1494,1102.687,1102.0147,1102.0147,0.0299,562.1,138614,4248
364,1,76687,841.3209,0.0749,840.8221,840.3136,840.3136,0.017,310.97,76687,2439
364,1,70983,759.0587,0.0766,758.516,758.0514,758.0514,0.0137,287.85,70983,1246
364,1,45471,943.9749,0.0878,943.5453,942.9676,942.9676,0.021,184.39,45471,1651
364,1,31431,1048.2097,0.1175,1047.8458,1047.2024,1047.2024,0.0265,127.46,31431,1507
364,1,25559,1077.1638,0.1096,1076.8135,1076.1565,1076.1565,0.0289,103.64,25559,1345
