scan_num,time,type,bpi,bpi_mz,tic,num_peaks,num_deisotoped
1,0.005,1,180.1455,1852.674,70909.3362,557,0
2,0.0485,1,203.8427,1991.9124,64421.9134,498,0
3,0.105,1,126.2713,1708.8097,73311.9605,607,0
4,0.1616,1,258.5296,1991.9364,72940.5811,567,0
5,0.2181,1,201.1487,1991.8884,73361.4479,596,0
6,0.2746,1,205.5726,1991.8884,71162.5093,560,0
7,0.3311,1,192.7082,1991.8884,73541.6326,573,0
8,0.3877,1,265.3785,1991.9364,70090.3765,544,0
9,0.4442,1,199.3241,1991.9364,76486.2776,621,0
10,0.5007,1,295.7605,1991.9364,82130.7042,651,0
11,0.5573,1,234.1131,1991.9124,72869.8828,583,0
12,0.6138,1,232.3637,1991.8884,67821.5006,530,0
13,0.6703,1,216.9074,1991.8884,70410.1333,549,0
14,0.7268,1,235.9175,1991.8884,74952.8935,596,0
15,0.7834,1,224.0688,1991.8643,67120.907,549,0
16,0.8399,1,223.9717,1991.8643,72218.7887,563,0
17,0.8964,1,150.4733,1852.674,75283.7278,595,0
18,0.953,1,244.011,1991.8403,75238.4835,607,0
19,1.014,1,4187.8203,519.1398,355095.8952,408,11
22,1.0558,1,4274.7422,519.1398,406179.5709,471,15
25,1.087,1,4893.6919,519.1398,374192.411,472,19
28,1.1238,1,5378.125,519.1414,311675.191,463,22
31,1.1697,1,5913.937,519.1398,341673.4151,442,20
34,1.2145,1,6679.0078,519.1398,412655.8007,505,15
37,1.2501,1,5683.0415,519.1398,350457.8134,388,20
40,1.288,1,5684.645,519.1398,327537.6902,571,21
41,1.3134,1,8099.5146,519.1414,344241.9038,475,24
44,1.3709,1,5553.4111,519.1398,408492.8732,422,17
47,1.4059,1,5946.6338,519.1398,345871.2787,367,19
49,1.4374,1,6319.3662,519.1398,352719.2385,451,20
52,1.48,1,6220.4971,519.1398,316673.5759,599,27
53,1.5122,1,6156.7202,519.1398,453988.8446,430,17
56,1.5538,1,5725.4375,519.1398,404105.2673,386,18
59,1.5883,1,6062.0264,519.1398,339232.9145,439,20
62,1.6304,1,5280.8354,519.1398,349409.9234,363,19
64,1.6625,1,5602.8213,519.1398,441241.7576,304,6
67,1.6952,1,6827.6665,519.1398,354482.4878,538,19
68,1.7203,1,5953.165,519.1398,323462.2256,509,17
69,1.7531,1,5989.376,519.1398,382991.7203,588,16
70,1.797,1,5942.6777,519.1398,368124.3138,514,12
71,1.8322,1,7868.6948,519.1398,376438.8565,425,15
73,1.8664,1,6679.998,519.1398,320534.8295,539,21
74,1.913,1,6374.437,519.1398,447347.7155,426,16
77,1.9486,1,6942.4883,519.1398,338132.7203,522,21
78,1.9774,1,6941.3638,519.1398,410571.2253,407,16
81,2.0212,1,6858.2207,519.1398,342271.5428,447,21
84,2.0606,1,6576.8271,519.1398,328251.948,488,24
87,2.1052,1,6672.0942,519.1398,339585.8339,484,20
90,2.1477,1,7353.7231,519.1414,310092.2659,488,22
93,2.1956,1,8524.0742,519.1414,310105.4262,504,29
96,2.2474,1,6842.6372,519.1398,309098.9198,438,17
99,2.2902,1,5351.4233,519.1414,337286,449,23
102,2.3329,1,7050.5962,519.1414,289625.3266,601,27
103,2.3708,1,6501.3462,519.1398,356830.5971,392,21
106,2.4196,1,9132.6104,519.1414,309699.1219,481,31
108,2.4655,1,6424.6616,519.1398,337625.8221,394,18
110,2.5052,1,5756.0176,519.1398,375734.8657,362,17
112,2.5388,1,6088.4595,519.1398,326209.0326,392,19
114,2.5762,1,6664.1963,519.1398,333401.6318,552,20
115,2.6207,1,5808.0703,519.1398,358228.1098,565,18
116,2.6592,1,6038.375,519.1398,309627.262,519,15
117,2.7004,1,6991.5996,519.1398,310252.7846,514,22
118,2.7417,1,6505.5078,519.1398,380805.7595,493,17
120,2.7756,1,6484.021,519.1398,393972.0447,360,12
123,2.8155,1,6661.9888,519.1398,323471.6268,548,20
124,2.8449,1,6336.3408,519.1398,436782.9869,326,14
126,2.8787,1,6979.5435,519.1398,364657.9236,410,16
128,2.9136,1,5735.77,519.1398,346323.5458,521,16
129,2.9544,1,6312.6733,519.1398,323881.1889,530,20
130,2.9945,1,6327.3721,519.1398,384001.1966,390,17
132,3.0238,1,6643.7832,519.1398,352383.0374,441,17
135,3.0652,1,8046.5654,519.1398,325536.3581,462,28
138,3.1104,1,7245.8423,519.1398,325367.9382,434,21
140,3.1462,1,6764.0669,519.1398,402361.2081,381,14
143,3.1839,1,6351.4102,519.1398,329064.5455,402,19
145,3.2195,1,6662.1709,519.1398,349814.7009,456,27
147,3.2607,1,7743.6787,519.1398,414548.4421,452,18
150,3.3002,1,6153.0581,519.1398,392322.5804,432,19
153,3.3386,1,6477.3711,519.1398,384561.8626,404,21
156,3.3793,1,10024.8096,456.2929,492844.5646,414,20
159,3.4136,1,19281.2168,456.2942,481678.457,378,24
162,3.4512,1,37205.0313,456.2929,603304.2601,412,24
165,3.4884,1,54430.6289,456.2929,773990.4673,388,21
168,3.5203,1,74885.5391,456.2929,886106.356,370,14
171,3.552,1,86067.9531,456.2929,975630.3041,391,16
174,3.5819,1,103749.2422,456.2929,1113324.494,296,16
177,3.612,1,103623.9688,456.2929,1140224.695,316,18
180,3.6418,1,119497.0859,456.2929,1269396.957,375,18
183,3.6717,1,126503.5391,456.2929,1258901.347,359,24
186,3.704,1,108026.7188,456.2929,1107615.108,454,24
187,3.7234,1,118944.5469,456.2929,1221320.308,334,20
190,3.7622,1,117132.8047,456.2929,1269241.985,335,19
193,3.7913,1,111379.1094,456.2929,1224334.898,318,16
196,3.8202,1,105278.7422,456.2929,1121636.467,371,25
198,3.8485,1,92881.1016,456.2929,1116369.098,291,10
200,3.8713,1,98189.9531,456.2929,1208862.156,299,14
203,3.9,1,87693.9766,456.2929,1034479.705,333,16
206,3.929,1,82244.9141,456.2929,890412.7755,552,23
207,3.9506,1,86192.6641,456.2929,877339.5754,428,16
208,3.9766,1,85673.5469,456.2929,908766.7747,282,15
210,4.0084,1,73971.9844,456.2929,825298.1512,348,15
212,4.0378,1,67939.6563,456.2929,776638.1619,479,19
213,4.0724,1,67251.8438,456.2929,802255.5149,362,15
216,4.1009,1,57888.0352,456.2929,741916.4756,432,17
219,4.1324,1,46105.4023,456.2942,555292.5934,499,21
220,4.1622,1,48954.0117,456.2929,682234.1921,355,18
223,4.201,1,42917.2617,456.2929,574239.8396,352,22
225,4.2332,1,42890.8711,456.2929,613160.418,477,19
226,4.256,1,39357.8555,456.2929,635601.6304,371,15
228,4.2891,1,37409.0703,456.2929,641574.7386,340,15
231,4.3223,1,30411.7598,456.2929,521194.6421,412,21
233,4.3532,1,29825.1523,456.2929,488002.9003,451,17
234,4.3786,1,25685.5547,456.2929,520014.4966,307,15
236,4.4126,1,22694.0566,456.2929,506034.2036,358,18
238,4.4438,1,21890.7051,456.2929,489063.8261,340,17
241,4.4789,1,17754.6211,456.2929,479725.9876,437,14
244,4.5133,1,14532.1563,456.2942,438839.8564,376,21
246,4.545,1,15445.4258,456.2929,505747.5311,352,15
248,4.5744,1,12921.1553,456.2929,460944.611,504,23
249,4.6125,1,11443.584,456.2929,492054.8267,353,16
252,4.6431,1,10000.8223,456.2942,389312.6014,414,24
255,4.6857,1,7214.3179,456.2942,342561.2423,537,22
256,4.7138,1,7419.9297,456.2929,370110.0115,505,24
257,4.7462,1,6771.5508,456.2929,421830.852,578,18
258,4.7909,1,6032.4131,519.1398,410040.5578,401,18
260,4.8198,1,4931.4092,519.1398,365288.3073,491,17
261,4.8597,1,5279.2563,519.1398,357319.67,506,19
262,4.8974,1,6142.5811,519.1398,333375.199,514,19
263,4.9374,1,4752.0449,519.1398,420926.1599,370,16
265,4.9662,1,5327.9727,519.1398,319719.5693,571,19
266,5.0104,1,5116.7813,519.1398,329013.3059,615,19
267,5.0522,1,6196.043,519.1398,287460.1602,567,23
268,5.0977,1,5503.1899,519.1398,338535.0226,415,23
271,5.1365,1,6812.147,519.1398,317837.4609,456,22
274,5.1806,1,6809.7427,519.1414,331755.4973,493,26
277,5.2277,1,5805.085,519.1398,363942.8364,445,19
280,5.2636,1,5928.4922,519.1398,369900.9918,472,18
283,5.3004,1,6674.9565,519.1398,323731.607,464,23
286,5.3473,1,5627.1021,519.1398,370880.0812,415,17
288,5.3769,1,4973.709,519.1398,359503.0607,341,16
290,5.4103,1,5605.7715,519.1398,414193.1191,410,21
293,5.4478,1,5750.9819,519.1398,344584.4823,426,23
295,5.4869,1,5570.2886,519.1398,374711.0637,396,17
298,5.5254,1,5883.3354,519.1398,328567.1337,432,23
301,5.5715,1,6252.5015,519.1398,327339.7745,531,25
302,5.6007,1,6310.3306,519.1398,362610.0151,409,21
304,5.6422,1,6465.7803,519.1398,286929.2291,561,27
305,5.6952,1,6150.7275,519.1398,425721.2006,377,20
307,5.723,1,6000.4863,519.1398,398307.2571,359,18
309,5.7579,1,6962.7051,519.1398,412871.0397,438,14
312,5.7982,1,7107.1108,519.1398,283528.9151,490,25
313,5.8331,1,5913.2485,519.1398,394145.4115,380,15
315,5.8707,1,5815.0259,519.1398,316704.4082,510,17
316,5.9124,1,5561.4292,519.1398,329740.5144,544,20
317,5.9536,1,6389.4155,519.1398,329885.3521,568,22
318,5.9966,1,6448.4536,519.1414,300683.6134,631,26
319,6.0484,1,5861.8457,519.1398,326014.3432,400,24
322,6.0903,1,5777.5825,519.1398,330552.8064,456,21
325,6.1336,1,5283.7969,519.1398,340785.825,412,22
328,6.1717,1,6674.6353,519.1414,327560.6236,426,25
331,6.2211,1,5566.0239,519.1398,446909.4569,390,16
334,6.2539,1,6786.7075,733.4218,420697.5483,410,28
337,6.2954,1,8920.415,521.2694,418099.0069,426,24
340,6.3399,1,9323.3184,733.4218,417286.5097,430,23
343,6.3819,1,7898.2222,733.4218,488467.9296,413,22
346,6.4181,1,25433.8242,1103.028,748240.6674,374,38
349,6.4577,1,59133.4102,1103.0207,1341415.938,404,36
352,6.4914,1,97744.2813,1103.0207,2088862.09,345,40
355,6.5206,1,177363.8594,1103.0207,3681486.64,338,42
358,6.5488,1,288028.125,523.2174,4939426.24,368,39
361,6.5735,1,427412.7813,523.2174,5367046.505,338,36
364,6.5996,1,498507.7813,523.2174,5760214.706,297,34
367,6.6239,1,510267.75,523.2174,5911914.564,299,29
370,6.6479,1,531205.25,523.2174,5987415.895,314,35
373,6.6723,1,769879.6875,523.2174,8173719.918,304,32
376,6.6949,1,584704,523.2174,6986887.427,307,32
379,6.7191,1,610457.125,523.2174,6762041.389,278,31
382,6.7434,1,722084.6875,523.2174,7699849.441,336,32
385,6.7694,1,722243.125,523.2174,7901857.533,323,34
388,6.7943,1,701925.1875,523.2174,7003255.092,285,30
391,6.8196,1,804207.8125,523.2174,8326133.743,297,32
394,6.8445,1,635266.9375,523.2174,6500441.116,282,31
397,6.8714,1,801780.125,523.2174,7961025.617,301,33
400,6.8949,1,692097.75,523.2174,6659754.82,275,34
403,6.9205,1,797760.875,523.2174,7569491.224,275,30
406,6.9454,1,677588.375,523.2174,6623061.45,264,25
409,6.972,1,718375.3125,523.2174,6685302.796,271,32
412,6.9983,1,707575.6875,523.2174,6661209.441,254,26
415,7.0231,1,589298.125,523.2174,5576807.732,286,30
418,7.0503,1,664576.8125,523.2174,5785174.342,272,35
421,7.0786,1,575410.5,523.2174,5401896.578,256,25
424,7.1044,1,863695.875,523.2174,7667069.177,269,36
427,7.1326,1,617370.9375,523.2174,5593934.505,311,31
430,7.1597,1,500194.2813,523.2174,4522796.851,297,32
433,7.1862,1,611638.0625,523.2174,6237682.832,273,31
436,7.2111,1,663247.3125,523.2174,5784675.229,319,33
439,7.2367,1,549374.875,523.2174,5052244.058,293,32
442,7.2631,1,552855.5,523.2174,5178936.939,302,32
445,7.2901,1,477396.2188,523.2174,4749066.756,271,25
448,7.3168,1,554455.5625,523.2174,5118741.988,302,34
451,7.3455,1,412798.4375,523.2174,4200283.45,299,30
454,7.3709,1,538476.375,523.2174,5168992.725,277,32
457,7.3986,1,505788.6563,523.2174,4958569.967,308,35
460,7.4236,1,384176.2188,523.2174,4249207.364,292,30
463,7.4511,1,466673.4063,523.2174,4710436.351,316,34
466,7.4772,1,453274.1563,523.2174,4465309.365,316,33
469,7.5027,1,366313.5,523.2174,3829395.486,315,34
472,7.5299,1,452704.1563,523.2174,4566908.505,297,39
475,7.5559,1,569964.5625,523.2174,6324170.144,311,36
478,7.5797,1,441930.6563,523.2174,4790432.791,295,33
481,7.6049,1,537840.5625,523.2174,5795418.484,293,35
484,7.6293,1,410779.5938,523.2174,4585073.372,273,35
487,7.6551,1,400649.9375,523.2174,4616215.84,289,31
490,7.681,1,463970.5313,523.2174,5007869.305,292,38
493,7.7117,1,438433.5313,523.2174,4878737.754,319,38
496,7.7411,1,383636.4063,523.2174,4452346.086,274,35
499,7.769,1,433187.2813,523.2174,4801557.449,294,35
502,7.7986,1,336215.75,523.2174,4261030.893,306,37
505,7.8264,1,312872.9375,523.2174,3861762.046,296,39
508,7.8579,1,256928.0938,523.2174,3486448.646,306,39
511,7.8879,1,253223.75,523.2174,3418717.215,305,42
514,7.9216,1,218854.8906,523.2174,3046158.314,300,43
517,7.9545,1,146105.25,523.2174,2624642.388,325,39
520,7.9852,1,149929.8438,523.2174,2474291.259,306,36
523,8.0197,1,150325.9063,523.2174,2480484.124,343,41
526,8.0548,1,113063.8672,523.2174,2170892.737,327,40
529,8.0894,1,91223.8906,523.2174,1898037.058,341,36
532,8.1207,1,109936.5938,523.2174,2017960.472,329,41
535,8.1535,1,92178.3984,523.2174,1840405.174,350,46
538,8.1871,1,113672.4063,523.2174,2078067.801,378,48
541,8.2199,1,97195.8516,523.2174,1905048.816,333,37
544,8.2488,1,115316.9297,523.2174,2121685.994,350,43
547,8.2781,1,111755.0781,523.2174,2092639.881,349,39
550,8.3092,1,128956.3594,523.2174,2221872.74,299,40
553,8.3377,1,158318.4375,523.2174,2472458.031,372,49
556,8.3694,1,205259.4219,523.2174,2716737.033,360,50
559,8.4018,1,246496.3594,523.2174,3063106.078,374,46
562,8.4303,1,259019.0781,523.2174,3077559.69,309,44
565,8.4597,1,173593.0313,523.2174,2641302.947,295,39
568,8.4864,1,234301.875,523.2174,3160707.704,321,36
571,8.5111,1,309709.8438,523.2174,3521363.876,351,49
574,8.5388,1,399811.9375,523.2174,4174858.182,363,44
577,8.5654,1,295398.1563,523.2174,3416945.496,343,42
580,8.5918,1,206934.7188,523.2174,2913137.632,314,34
583,8.6178,1,206109.6563,523.2174,3008087.47,283,34
586,8.645,1,390234.3125,523.2174,4810095.121,293,41
589,8.6712,1,319335.75,523.2174,4791835.499,316,43
592,8.6968,1,381238.4375,523.2174,5999952.317,293,40
595,8.724,1,305330.0313,523.2174,6347128.079,288,33
598,8.7472,1,285268.125,678.38,6626118.244,279,36
601,8.7698,1,323306.4375,678.38,6331654.951,276,31
604,8.7927,1,358038,678.38,6430317.083,260,33
607,8.8151,1,486353.0625,678.38,8032007.28,242,32
610,8.8386,1,525937.0625,678.38,8534348.626,244,33
613,8.8614,1,697522.4375,678.38,10425819.27,244,31
616,8.8842,1,626057.25,678.38,10700109.7,256,31
619,8.9046,1,702673.3125,678.38,12220063.1,274,33
622,8.9276,1,632199.3125,678.38,12138438.68,239,28
625,8.9492,1,730742.625,506.7733,14095727.74,255,33
628,8.9718,1,811168.9375,506.7733,14974766.48,262,28
631,8.9907,1,771997.125,506.7733,13175214.15,228,24
634,9.0125,1,913640.6875,506.7733,15181778.53,234,30
637,9.0337,1,823832.6875,506.7733,13352565.75,238,29
640,9.0557,1,892759.875,506.7733,13792570.59,216,30
643,9.0779,1,845604.875,506.7733,12933801.99,245,31
646,9.1005,1,763775.1875,506.7733,12030221.8,251,30
649,9.1218,1,878033.25,506.7733,12730902.88,212,33
652,9.1443,1,702242.1875,506.7733,11080366.16,238,30
655,9.1643,1,615587.6875,506.7733,9555570.426,230,29
658,9.187,1,538731.9375,506.7733,9964285.455,252,32
661,9.2087,1,541613.3125,506.7733,8813766.074,281,38
664,9.2322,1,484990.4688,506.7733,8750799.125,265,39
